2022-10-23 19:45:45.854 [http-bio-80-exec-4] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 19:47:14.586 [http-bio-80-exec-6] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:01:15.236 [http-bio-80-exec-1] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:01:15.265 [http-bio-80-exec-1] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:02:09.843 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:02:09.847 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:02:09.852 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:02:35.226 [http-bio-80-exec-1] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:03:02.871 [http-bio-80-exec-1] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:06:28.259 [http-bio-80-exec-3] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:07:21.269 [http-bio-80-exec-1] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:13:57.158 [http-bio-80-exec-1] INFO  com.hit.web.Servlet.Login - Shirou登录成功
2022-10-23 21:32:39.994 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:32:39.998 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 21:47:40.668 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户Shirou超时退出
2022-10-23 22:02:41.383 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  com.hit.web.Listener.SessionListener - 用户null超时退出
2022-10-23 23:37:57.932 [http-bio-80-exec-10] INFO  com.hit.web.Servlet.Register - Shiki注册成功
2022-10-23 23:44:27.656 [http-bio-80-exec-8] INFO  com.hit.web.Servlet.Register - Nagisa注册成功
2022-10-23 23:49:28.222 [http-bio-80-exec-6] INFO  com.hit.web.Servlet.Register - Ushiochan注册成功
2022-10-23 23:53:00.542 [http-bio-80-exec-7] INFO  com.hit.web.Servlet.Register - Tomoyo注册成功
2022-10-23 23:55:06.823 [http-bio-80-exec-10] INFO  com.hit.web.Servlet.Register - Kyochan注册成功
